order_id,customer_id,product_id,order_date,quantity
ORD00001,CUST0886,PROD051,2024-04-21,1
ORD00002,CUST0667,PROD066,2025-10-08,2
ORD00003,CUST0535,PROD034,2025-04-09,6
ORD00004,CUST0628,PROD048,2023-03-03,9
ORD00005,CUST0575,PROD065,2024-02-01,5
ORD00006,CUST1381,PROD107,2024-10-08,2
ORD00007,CUST0619,PROD079,2025-09-21,5
ORD00008,CUST0472,PROD001,2024-10-25,4
ORD00009,CUST0593,PROD053,2024-12-17,3
ORD00010,CUST1103,PROD093,2025-07-31,4
ORD00011,CUST0059,PROD084,2024-06-17,10
ORD00012,CUST0531,PROD059,2024-08-28,2
ORD00013,CUST0819,PROD011,2025-01-29,7
ORD00014,CUST1047,PROD108,2024-10-18,10
ORD00015,CUST0192,PROD064,2025-09-23,2
ORD00016,CUST0495,PROD012,2024-04-25,10
ORD00017,CUST1403,PROD018,2024-02-09,1
ORD00018,CUST0195,PROD096,2023-05-27,7
ORD00019,CUST0397,PROD032,2024-09-27,7
ORD00020,CUST0878,PROD122,2023-10-27,10
ORD00021,CUST0195,PROD091,2025-04-17,4
ORD00022,CUST0248,PROD092,2024-05-09,5
ORD00023,CUST1060,PROD032,2025-07-27,1
ORD00024,CUST0520,PROD064,2025-10-01,2
ORD00025,CUST1115,PROD012,2024-08-16,9
ORD00026,CUST0813,PROD086,2023-05-30,1
ORD00027,CUST0098,PROD001,2024-03-18,8
ORD00028,CUST1133,PROD070,2024-04-14,3
ORD00029,CUST1252,PROD028,2024-12-27,6
ORD00030,CUST0894,PROD027,2023-06-21,1
ORD00031,CUST0111,PROD059,2025-06-28,5
ORD00032,CUST0563,PROD028,2023-03-10,10
ORD00033,CUST1457,PROD124,2025-09-06,1
ORD00034,CUST1240,PROD026,2025-01-04,9
ORD00035,CUST0178,PROD034,2025-05-07,2
ORD00036,CUST0275,PROD106,2024-10-17,1
ORD00037,CUST1563,PROD066,2024-06-02,4
ORD00038,CUST1324,PROD077,2025-01-30,2
ORD00039,CUST0158,PROD097,2025-07-20,8
ORD00040,CUST1053,PROD050,2025-04-22,3
ORD00041,CUST0208,PROD018,2024-05-17,8
ORD00042,CUST0936,PROD075,2025-07-29,4
ORD00043,CUST1114,PROD099,2025-10-03,4
ORD00044,CUST1005,PROD020,2025-04-07,3
ORD00045,CUST1332,PROD057,2024-03-19,1
ORD00046,CUST1448,PROD094,2025-02-16,7
ORD00047,CUST0856,PROD051,2025-01-24,2
ORD00048,CUST0441,PROD046,2025-07-05,10
ORD00049,CUST0352,PROD054,2025-06-20,7
ORD00050,CUST0136,PROD014,2023-03-20,1
ORD00051,CUST1005,PROD119,2024-04-07,7
ORD00052,CUST0283,PROD094,2023-03-05,4
ORD00053,CUST1561,PROD081,2025-01-17,7
ORD00054,CUST0777,PROD118,2024-06-23,5
ORD00055,CUST0081,PROD075,2024-04-23,2
ORD00056,CUST0026,PROD057,2025-05-16,4
ORD00057,CUST0712,PROD066,2025-09-13,9
ORD00058,CUST0183,PROD009,2024-03-01,3
ORD00059,CUST1120,PROD073,2025-08-05,9
ORD00060,CUST1155,PROD008,2025-08-11,8
ORD00061,CUST1444,PROD013,2025-10-30,7
ORD00062,CUST1262,PROD049,2024-11-03,5
ORD00063,CUST0804,PROD090,2025-03-27,8
ORD00064,CUST0656,PROD102,2025-01-03,4
ORD00065,CUST0100,PROD010,2024-12-22,8
ORD00066,CUST0690,PROD063,2024-01-02,7
ORD00067,CUST1330,PROD118,2023-06-02,7
ORD00068,CUST0300,PROD106,2025-01-25,6
ORD00069,CUST1445,PROD091,2024-04-24,1
ORD00070,CUST1556,PROD009,2024-07-10,3
ORD00071,CUST0138,PROD009,2025-03-30,8
ORD00072,CUST1052,PROD098,2024-06-09,5
ORD00073,CUST0154,PROD075,2024-08-15,1
ORD00074,CUST0727,PROD124,2025-07-17,2
ORD00075,CUST0044,PROD008,2025-03-23,8
ORD00076,CUST1226,PROD026,2025-09-09,8
ORD00077,CUST0879,PROD075,2025-02-05,10
ORD00078,CUST1145,PROD069,2024-09-24,6
ORD00079,CUST1571,PROD126,2024-03-17,4
ORD00080,CUST0115,PROD030,2024-06-16,8
ORD00081,CUST0714,PROD009,2024-01-07,4
ORD00082,CUST1367,PROD076,2025-07-15,7
ORD00083,CUST0615,PROD060,2025-02-17,1
ORD00084,CUST0024,PROD058,2025-07-15,8
ORD00085,CUST1459,PROD122,2025-03-12,5
ORD00086,CUST0012,PROD019,2025-05-23,3
ORD00087,CUST1007,PROD055,2025-02-08,6
ORD00088,CUST0632,PROD126,2023-08-18,8
ORD00089,CUST1062,PROD097,2025-03-09,6
ORD00090,CUST0931,PROD025,2024-06-27,7
ORD00091,CUST1276,PROD102,2025-04-13,10
ORD00092,CUST1469,PROD110,2025-10-06,9
ORD00093,CUST0202,PROD111,2025-03-30,2
ORD00094,CUST0261,PROD003,2025-06-08,3
ORD00095,CUST0087,PROD077,2025-09-15,10
ORD00096,CUST0558,PROD106,2023-03-19,4
ORD00097,CUST0729,PROD067,2024-01-28,5
ORD00098,CUST0116,PROD054,2025-06-15,8
ORD00099,CUST1122,PROD047,2024-09-27,10
ORD00100,CUST0024,PROD043,2024-03-10,1
ORD00101,CUST0304,PROD068,2024-07-29,8
ORD00102,CUST0590,PROD083,2025-08-22,6
ORD00103,CUST1467,PROD028,2024-01-09,6
ORD00104,CUST0688,PROD101,2025-03-17,6
ORD00105,CUST0821,PROD091,2024-05-15,9
ORD00106,CUST0042,PROD063,2025-09-30,4
ORD00107,CUST1468,PROD097,2025-03-03,5
ORD00108,CUST0599,PROD055,2025-01-20,3
ORD00109,CUST0236,PROD086,2025-04-16,3
ORD00110,CUST0411,PROD110,2024-05-05,10
ORD00111,CUST1181,PROD109,2024-07-15,1
ORD00112,CUST0743,PROD091,2023-08-07,6
ORD00113,CUST0299,PROD074,2025-03-14,6
ORD00114,CUST1589,PROD028,2024-01-21,3
ORD00115,CUST1167,PROD111,2025-02-09,8
ORD00116,CUST1167,PROD091,2024-10-15,2
ORD00117,CUST1527,PROD038,2025-09-16,3
ORD00118,CUST1526,PROD030,2025-02-12,9
ORD00119,CUST0486,PROD102,2024-01-27,1
ORD00120,CUST1455,PROD085,2025-05-11,5
ORD00121,CUST1393,PROD097,2024-09-25,1
ORD00122,CUST1295,PROD011,2024-07-26,1
ORD00123,CUST0837,PROD097,2025-09-04,5
ORD00124,CUST0345,PROD092,2024-11-24,1
ORD00125,CUST0991,PROD104,2025-06-25,1
ORD00126,CUST0702,PROD066,2025-01-11,1
ORD00127,CUST1559,PROD107,2025-04-01,4
ORD00128,CUST1307,PROD117,2023-11-29,2
ORD00129,CUST0650,PROD003,2023-02-19,3
ORD00130,CUST0566,PROD009,2025-07-07,3
ORD00131,CUST0020,PROD112,2024-04-26,3
ORD00132,CUST0997,PROD017,2025-01-18,8
ORD00133,CUST0137,PROD051,2025-06-08,6
ORD00134,CUST0380,PROD052,2024-12-25,8
ORD00135,CUST1366,PROD076,2024-01-07,9
ORD00136,CUST1380,PROD054,2025-01-19,3
ORD00137,CUST0534,PROD085,2025-05-10,5
ORD00138,CUST1386,PROD047,2025-02-26,5
ORD00139,CUST0276,PROD109,2024-08-02,5
ORD00140,CUST0996,PROD123,2025-04-05,6
ORD00141,CUST1539,PROD121,2023-04-18,1
ORD00142,CUST1369,PROD051,2024-05-26,8
ORD00143,CUST0544,PROD048,2024-10-11,7
ORD00144,CUST0120,PROD062,2025-10-14,2
ORD00145,CUST1189,PROD087,2024-07-08,4
ORD00146,CUST1313,PROD120,2025-05-30,5
ORD00147,CUST1477,PROD042,2024-08-04,5
ORD00148,CUST0594,PROD031,2025-02-20,10
ORD00149,CUST0452,PROD102,2025-03-27,9
ORD00150,CUST0265,PROD091,2025-03-03,2
ORD00151,CUST0848,PROD044,2025-10-10,8
ORD00152,CUST0442,PROD083,2025-03-07,10
ORD00153,CUST0297,PROD088,2025-05-13,9
ORD00154,CUST0921,PROD117,2024-01-15,7
ORD00155,CUST0834,PROD115,2025-07-03,9
ORD00156,CUST0247,PROD122,2025-03-31,9
ORD00157,CUST0502,PROD031,2025-07-06,2
ORD00158,CUST1481,PROD101,2024-08-07,9
ORD00159,CUST0701,PROD004,2025-10-18,4
ORD00160,CUST1567,PROD019,2024-08-06,4
ORD00161,CUST1576,PROD087,2025-01-22,9
ORD00162,CUST0610,PROD046,2024-04-20,1
ORD00163,CUST1384,PROD036,2023-05-22,4
ORD00164,CUST1404,PROD027,2024-11-20,8
ORD00165,CUST0434,PROD055,2024-03-17,10
ORD00166,CUST0739,PROD081,2023-07-09,6
ORD00167,CUST0623,PROD084,2023-11-26,6
ORD00168,CUST0118,PROD037,2025-05-31,1
ORD00169,CUST0382,PROD075,2024-12-22,2
ORD00170,CUST0885,PROD124,2025-04-25,1
ORD00171,CUST1394,PROD092,2025-03-11,6
ORD00172,CUST0369,PROD073,2024-01-18,4
ORD00173,CUST0048,PROD066,2025-06-05,9
ORD00174,CUST0073,PROD043,2025-06-25,3
ORD00175,CUST1366,PROD077,2024-06-19,6
ORD00176,CUST0725,PROD104,2025-02-15,9
ORD00177,CUST0243,PROD073,2023-03-04,7
ORD00178,CUST0862,PROD117,2024-01-01,10
ORD00179,CUST0864,PROD091,2024-02-04,10
ORD00180,CUST0359,PROD107,2024-11-20,4
ORD00181,CUST1336,PROD014,2025-01-27,5
ORD00182,CUST1104,PROD001,2025-07-04,2
ORD00183,CUST0121,PROD084,2024-10-27,1
ORD00184,CUST0208,PROD012,2025-03-10,7
ORD00185,CUST1595,PROD092,2024-05-08,10
ORD00186,CUST0870,PROD054,2025-03-05,2
ORD00187,CUST0412,PROD049,2025-05-20,4
ORD00188,CUST0335,PROD034,2023-06-11,8
ORD00189,CUST0652,PROD126,2025-07-27,4
ORD00190,CUST1220,PROD098,2025-08-09,2
ORD00191,CUST0972,PROD072,2024-03-23,3
ORD00192,CUST1015,PROD124,2024-06-06,4
ORD00193,CUST1192,PROD024,2024-02-09,9
ORD00194,CUST1340,PROD032,2024-08-01,5
ORD00195,CUST0512,PROD049,2025-07-16,3
ORD00196,CUST0827,PROD009,2024-05-28,2
ORD00197,CUST1180,PROD062,2024-03-23,6
ORD00198,CUST1198,PROD045,2023-06-26,6
ORD00199,CUST0580,PROD123,2025-08-20,4
ORD00200,CUST0215,PROD005,2023-03-31,8
ORD00201,CUST1581,PROD104,2024-05-27,2
ORD00202,CUST0284,PROD068,2025-07-10,4
ORD00203,CUST1590,PROD123,2024-09-25,6
ORD00204,CUST0391,PROD092,2023-08-11,9
ORD00205,CUST1090,PROD095,2025-10-11,9
ORD00206,CUST1576,PROD121,2025-02-09,3
ORD00207,CUST0340,PROD068,2025-03-23,6
ORD00208,CUST0936,PROD028,2025-05-03,3
ORD00209,CUST1394,PROD097,2023-05-22,2
ORD00210,CUST0899,PROD068,2025-06-03,4
ORD00211,CUST0926,PROD123,2024-06-20,9
ORD00212,CUST0143,PROD014,2025-09-30,1
ORD00213,CUST0188,PROD067,2024-03-11,8
ORD00214,CUST0098,PROD085,2024-07-28,6
ORD00215,CUST0491,PROD066,2023-12-15,10
ORD00216,CUST0045,PROD105,2025-09-20,3
ORD00217,CUST0157,PROD059,2025-03-23,8
ORD00218,CUST0650,PROD118,2024-03-30,2
ORD00219,CUST1058,PROD044,2023-07-03,3
ORD00220,CUST1249,PROD037,2023-02-11,10
ORD00221,CUST0363,PROD101,2025-05-22,3
ORD00222,CUST0877,PROD046,2025-04-18,3
ORD00223,CUST1075,PROD063,2024-05-06,9
ORD00224,CUST1450,PROD026,2024-08-19,4
ORD00225,CUST0334,PROD094,2025-08-26,3
ORD00226,CUST0222,PROD069,2025-05-01,10
ORD00227,CUST0079,PROD021,2025-03-07,10
ORD00228,CUST1096,PROD026,2023-02-08,2
ORD00229,CUST1501,PROD124,2025-07-24,9
ORD00230,CUST1517,PROD093,2025-08-09,3
ORD00231,CUST0342,PROD097,2024-07-19,8
ORD00232,CUST1171,PROD079,2024-02-08,5
ORD00233,CUST0982,PROD041,2025-08-24,6
ORD00234,CUST0475,PROD057,2025-03-31,8
ORD00235,CUST0402,PROD072,2025-05-03,5
ORD00236,CUST1339,PROD072,2024-08-11,10
ORD00237,CUST0193,PROD073,2024-09-07,3
ORD00238,CUST0912,PROD066,2024-09-16,3
ORD00239,CUST0139,PROD056,2024-07-29,9
ORD00240,CUST0485,PROD113,2024-10-20,2
ORD00241,CUST0429,PROD011,2023-12-23,5
ORD00242,CUST0943,PROD093,2024-06-20,4
ORD00243,CUST1436,PROD003,2025-04-15,4
ORD00244,CUST0043,PROD080,2024-09-15,10
ORD00245,CUST1030,PROD034,2024-06-30,8
ORD00246,CUST0012,PROD112,2023-07-18,4
ORD00247,CUST0776,PROD098,2025-04-28,9
ORD00248,CUST0550,PROD114,2024-02-10,7
ORD00249,CUST0067,PROD074,2025-07-23,2
ORD00250,CUST0127,PROD044,2025-10-31,8
ORD00251,CUST0515,PROD045,2024-09-15,5
ORD00252,CUST1367,PROD069,2025-07-02,6
ORD00253,CUST1050,PROD115,2024-04-25,3
ORD00254,CUST0961,PROD023,2024-11-23,6
ORD00255,CUST0371,PROD088,2025-07-15,10
ORD00256,CUST0595,PROD021,2025-09-20,6
ORD00257,CUST1489,PROD105,2024-07-06,1
ORD00258,CUST0730,PROD013,2023-11-06,3
ORD00259,CUST1047,PROD087,2025-06-30,1
ORD00260,CUST1473,PROD101,2024-08-11,4
ORD00261,CUST0604,PROD100,2025-05-12,5
ORD00262,CUST0716,PROD004,2025-04-22,4
ORD00263,CUST1585,PROD015,2025-07-30,10
ORD00264,CUST1215,PROD048,2024-08-08,3
ORD00265,CUST0045,PROD002,2024-09-18,9
ORD00266,CUST0427,PROD096,2024-12-02,4
ORD00267,CUST0917,PROD062,2025-03-09,2
ORD00268,CUST0834,PROD046,2024-12-08,5
ORD00269,CUST1013,PROD006,2023-11-08,3
ORD00270,CUST0675,PROD068,2025-10-08,4
ORD00271,CUST1319,PROD098,2024-10-28,3
ORD00272,CUST0253,PROD097,2025-08-07,4
ORD00273,CUST1404,PROD066,2024-12-27,10
ORD00274,CUST0822,PROD099,2025-09-16,1
ORD00275,CUST1170,PROD116,2024-04-13,3
ORD00276,CUST0118,PROD101,2025-08-20,6
ORD00277,CUST0897,PROD121,2025-04-23,5
ORD00278,CUST0680,PROD015,2024-09-25,9
ORD00279,CUST1396,PROD065,2023-04-19,10
ORD00280,CUST0709,PROD040,2024-09-02,5
ORD00281,CUST0661,PROD118,2025-06-10,2
ORD00282,CUST0238,PROD104,2025-09-18,2
ORD00283,CUST0029,PROD029,2025-02-26,9
ORD00284,CUST0562,PROD015,2024-06-22,8
